ringnr year island stage age nestling_age cohort FROH sex damringnr sireringnr first_island last_island first_year last_year first_stage first_age last_age type first_DNA_nestage Fhat2
8537761 1994 22 j 0 NA 1994 0.0741482221452049 m NA NA 22 22 1994 1998 j 0 4 capt NA 0.135744
8537728 1994 27 n 0 14 1994 0.0174053536115472 f F0178 NA 27 27 1994 2001 n 0 7 nest 5 0.0226809
8537728 1994 27 j 0 NA 1994 0.0174053536115472 f F0178 NA 27 27 1994 2001 n 0 7 capt 5 0.0226809
8537612 1994 26 j 0 NA 1994 0.00292908288198904 f F0290 M0264 26 26 1994 2000 n 0 6 obs 11 0.000380196
8537699 1994 20 j 0 NA 1994 0 m F0283 M0259 20 20 1994 1999 j 0 5 obs NA -0.00552152
8537700 1994 20 j 0 NA 1994 0 m F0283 M0259 20 20 1994 2001 j 0 7 obs NA 0.0160188
8537652 1994 26 a 1 NA 1993 0 m NA NA 26 26 1994 1999 a 1 6 capt NA -0.210379
8537770 1994 33 j 0 NA 1994 0.180790288565869 m NA NA 33 33 1994 1998 j 0 4 capt NA 0.169713
8537774 1994 33 j 0 NA 1994 0.0385888610267318 f NA NA 33 33 1994 1998 j 0 4 capt NA 0.0690978
8598501 1994 33 j 0 NA 1994 0.0408984752830954 f NA NA 33 28 1994 1999 j 0 5 capt NA 0.0430217
8573966 1994 27 j 0 NA 1994 0.23488024935498 m F0065 M0075 27 27 1994 1999 n 0 5 obs 8 0.236172
8414812 1994 28 a 2 NA 1992 0 u NA NA 28 28 1993 1999 a 1 7 capt NA -0.204719
8598602 1994 28 j 0 NA 1994 0 m NA NA 28 28 1994 2000 j 0 6 capt NA 0.019586
8598614 1994 28 j 0 NA 1994 0.0124937989711389 m NA NA 28 28 1994 1999 j 0 5 capt NA 0.0138989
8573521 1994 23 a 1 NA 1993 0.00537348881776111 m NA NA 25 23 1993 1999 j 0 6 obs NA 0.00492276
8537770 1995 33 a 1 NA 1994 0.180790288565869 m NA NA 33 33 1994 1998 j 0 4 capt NA 0.169713
8573915 1995 23 a 2 NA 1993 0.00628088905198444 m NA NA 23 23 1994 1999 a 1 6 obs NA 0.0219547
8598631 1995 23 a 1 NA 1994 0.00358732067983663 u NA NA 23 23 1995 2000 a 1 6 capt NA -0.0689425
8573989 1995 24 a 1 NA 1994 0.0240480995970181 f NA NA 24 24 1994 1998 j 0 4 capt NA 0.0367389
8573815 1995 24 a 1 NA 1994 0.0194998856065909 m NA NA 24 24 1994 1998 j 0 4 capt NA 0.0597715
